Roll No.,Name of Student,GP,10th_Marks,12th_Marks,Active_Backlogs,Internships,Projects,DSA_Skill,Communication_Skill,Placed
46,Muqarrab Raja,10.0,88.80307270959014,95.14201204893989,1,0,3,9.423416960284687,4.577302276141736,1
47,Yusuf,0.0,64.6214609203218,95.7885716961242,0,0,2,3.2561977141372873,8.747109031685756,1
48,Zeynep,7.5,54.68826147230642,93.91349073058153,1,2,2,2.7728772042465177,5.898112634802926,0
49,Mehmet,7.0,82.84318527258353,67.76761761226133,0,2,0,8.942340654987216,5.7846213444784285,1
50,Fatma,0.0,71.12731969950086,50.74191759338564,1,1,3,5.581352645696268,7.300853795846415,0
51,Emir,10.0,55.85783527254938,94.55929100421082,1,1,3,4.661854522680167,8.722956024143073,0
 ,Elif,7.25,73.76849168534096,70.5528391192311,1,3,4,8.079809374792152,5.476267271532405,1
53,Ahmed,5.25,51.65064901353048,96.39943131409615,1,2,0,4.788768920526271,7.092519774771957,0
54,Ayşe,9.0,93.64737929978153,96.25375890028414,1,1,4,9.652019427093872,7.643224750495859,1
55,Mustafa,0.0,62.42143911680081,90.94445386243328,0,1,0,7.355851742678539,8.039658410894717,0
56,Esra,0.0,81.80106964899113,64.13354681934011,1,3,2,5.024177183708595,7.2646623329158375,0
57,İbrahim,8.25,64.96213165229173,68.48469097289241,1,2,1,10.0,6.449458241375017,1
58,Hafsa,6.0,74.96326501653492,90.85456023280913,0,3,2,4.788570153993323,5.758614669026921,1
 ,Ömer,0.0,76.24209340847742,65.21225624750133,1,1,2,7.484190744018614,7.129215824569562,0
60,Hatice,0.0,58.873013865225296,58.13565184093244,1,0,0,6.598585160812984,5.39179148202159,0
61,Ali,8.75,96.54006213269881,76.72646059800081,0,1,2,8.603482578797596,2.6179742747580885,1
62,Selma,0.0,87.2063755213335,94.93542915971749,2,0,4,9.123022393453706,7.654839706236501,0
63,Kerem,6.0,95.09594919508108,83.4094302403987,1,1,1,6.064008298131533,8.355902261629293,0
64,Rabia,0.0,92.95171282052715,77.36293616428952,0,1,2,4.493164259307633,3.455601346687242,0
65,İsmail,8.75,78.69919898293209,54.66447170099689,0,0,3,6.919944285878233,5.485403942935093,0
66,Sema,0.0,94.24996328110961,79.52034688156014,0,1,0,4.644569260495787,7.928731391507797,0
68,Zehra,10.0,54.247640098492134,97.52258480500464,0,0,2,10.0,10.0,1
69,Barış,10.0,59.40717739611897,56.724032731353155,0,1,1,6.273070662165475,7.031190561513112,1
70,Aysel,10.0,52.17090986770583,74.87982331345935,3,0,0,5.269356897375783,5.907995588156298,0
71,Murat,6.25,65.61585587663669,92.11390745254187,0,1,1,6.3693606117298165,6.72565533834274,1
72,Ceren,8.0,68.65650990509513,85.55689365220181,1,1,3,3.305747420940607,9.062314628722277,0
73,Yunus,6.25,63.024753525147005,83.45675556777286,0,1,1,4.056771922978697,6.031053731313197,0
74,Sibel,0.0,89.7794004392926,83.71923603138124,3,0,2,8.400827815888851,5.801211990024619,0
75,İdris,8.5,67.12415968129228,67.25557525854825,1,1,1,4.686211442057209,6.275884716726951,0
 ,Derya,0.0,63.48485646499428,64.09240852469568,2,1,5,3.906178034636121,5.570007087611931,0
77,Osman,0.0,76.04941199159592,88.84933546296865,0,1,1,7.073305505054572,7.184005473992193,1
78,Merve,5.25,56.76436279878861,88.88544294460067,0,2,4,8.371408309325993,9.43701768770434,1
79,Eren,7.5,88.5054550761939,91.61947129184497,2,0,2,7.437906621330134,7.484618909674044,0
80,İrem,8.5,53.578430896629,93.83554652271062,0,1,0,7.992095371611633,6.621469746810568,1
81,Arda,0.0,97.37057295682483,74.54443514532501,0,1,1,4.486409822861079,6.562283096626684,0
83,Can,0.0,87.06774892623956,74.07278214498558,3,0,3,3.1563786665163125,4.655213786955015,0
84,Melek,6.25,59.53835271364028,88.31816859040521,0,0,2,9.002667303910973,8.32466466572074,1
85,Bilal,7.25,50.265061621932915,81.19826867733272,0,1,3,5.354640322315729,6.883244204480797,1
86,Gizem,0.0,89.14214856583203,83.69441010836977,0,0,3,5.498333967089906,6.729280129614062,0
87,Cem,6.5,83.92915250468562,88.19804813293285,4,1,1,8.656388283698115,10.0,0
88,Feride,0.0,84.99234406596739,92.72025640724318,3,1,0,7.11246001880132,7.44812936254853,0
89,Furkan,0.0,87.0209766409254,66.22376752887372,0,1,1,6.911775544163215,5.872313424857223,1
 ,Hande,8.0,53.554143283236336,68.02798172671731,0,0,4,10.0,6.360463605691685,1
91,Ege,8.75,67.20635497012509,54.51113311236171,1,0,2,4.7129635392397144,8.722668563795132,0
92,Şeyma,6.5,55.561714857206226,77.75744676781635,0,2,4,7.855680256162474,7.1699056158066465,1
93,Hüseyin,6.0,91.42896444202849,51.72522914224362,1,0,3,6.114026249794169,4.84258303252395,0
94,Deniz,7.25,79.91831008772277,72.34870487035809,0,1,2,6.537184557726514,8.378843401862806,1
95,Serkan,0.0,65.88310519292716,76.04694246596368,0,0,3,9.056936852825064,5.997783871691509,1
96,Şule,7.25,53.05080081372913,63.753980102157655,1,0,2,7.015671512579248,9.809946664326318,0
97,Harun,8.75,64.92715144235179,78.35999650731252,1,2,2,7.076592158099266,8.620072098571972,1
98,Meltem,5.0,65.60879945728385,51.46401199707437,1,0,2,8.145014674619604,6.329017156511873,0
99,Uğur,5.0,85.02109656022708,51.792713059962296,0,0,3,5.270094540914229,8.921524542602668,1
100,Liam Smith,9.5,80.60275862505023,89.48482691166359,1,1,1,4.321580665321987,7.101783265791105,0
 ,Noah Johnson,7.25,92.58621164366367,67.28915078774062,0,0,2,3.910381611957933,8.27916051268333,1
102,Ethan Williams,7.5,72.66631640777356,56.09890460729047,0,1,3,2.0672868212479965,7.727099225941712,1
103,Aiden Brown,0.0,55.74052380503848,75.06767648263062,1,1,2,10.0,5.73046501751369,0
104,Mason Jones,0.0,84.23574978670376,86.95969054873332,1,0,0,3.7935832685566337,6.034675251523807,0
105,Elijah Davis,0.0,86.51768233361108,60.359409319848474,0,0,1,5.557492752828456,8.544941226371742,0
107,Benjamin Wilson,0.0,76.94130548333581,79.898742839312,0,3,2,5.446373400222159,6.497837001840189,1
108,Lucas Taylor,5.75,87.00642463781892,54.096678319700864,0,1,2,6.614813395618201,6.394527305137005,0
109,Alexander Anderson,7.0,73.70218862549075,52.48072261609317,0,0,1,7.6314744250785935,5.5673161309759704,0
110,Dilara,0.0,75.09117581033571,75.5050223152711,0,1,0,7.720946976719491,7.635398598390191,1
111,Emre,8.0,70.52196888121038,75.95048583728511,0,0,5,4.833845122862123,10.0,1
112,Gülşen,5.75,51.22011808371657,80.59663527191391,1,0,2,5.665756572427177,5.398700628618591,0
113,Taha,7.0,55.17878849567862,84.85238401868776,0,0,1,6.5651599009765995,7.036329185009137,1
114,Pınar,0.0,51.508600912963246,96.84089981420166,1,0,2,5.502617747632906,9.118330833123144,0
115,Yağız,10.0,80.54769974066146,74.78241671845737,1,1,0,9.214691152039986,6.880537913131428,0
116,Bengü,0.0,65.08908709166369,65.50191070117981,1,2,2,6.981949903276503,7.678557694374601,0
117,Selim,7.5,74.41139317590573,88.16893734889777,1,0,1,7.4697555720996345,5.40640970777968,0
118,Defne,7.25,93.56319074845246,62.99994806057956,0,1,3,7.325762537334826,7.6424606458114726,1
 ,Kadir,0.0,61.966026999145996,71.07062819387053,0,0,4,8.34694771497065,6.719283602493177,1
120,Aslı,0.0,69.69838030571023,53.76590630442877,1,1,2,6.3620431174074135,8.478594993519794,0
121,Ferhat,7.5,86.26645465006634,51.21683568394196,0,1,0,3.406336104088307,8.781079077347126,1
122,Duygu,0.0,60.98231194359788,96.2071239045404,1,0,2,6.799375903505283,10.0,0
123,İlker,8.5,53.695035671782065,90.12704578458587,0,2,2,4.697286212416342,7.869449759820363,1
124,İnci,0.0,63.90806973986086,83.4067618924975,0,3,3,4.942766636500487,7.48869447487325,1
125,Arif,6.25,57.73862178819221,69.62974133188496,0,1,5,7.172728037510186,7.291576452366004,1
126,Bahar,0.0,94.62548731244351,58.3181273634006,0,0,2,8.476566142867272,6.470250560783968,0
127,Oğuz,0.0,88.78977821909201,57.50897804821213,0,1,3,6.042543153472123,7.507725765192537,1
128,Figen,9.25,80.40338031250033,62.01165911190058,1,0,3,6.617666025197927,6.556897884791455,0
129,Ertuğrul,0.0,91.83010832901044,76.36287990589378,0,0,2,9.404429889270476,7.252691464404421,0
130,Ceyda,8.25,88.5762596911575,84.300604289603,1,3,5,6.4815063589771365,8.976396303411939,1
132,Ahmed Hassan,10.0,58.95536282652972,81.6894740824511,1,0,2,10.0,5.490186152080538,0
133,Fatima Ali,0.0,92.84283192751893,63.43682705340525,0,0,5,7.1310192912630885,8.709817841693567,1
 ,Omar Khalid,8.5,75.88842761195124,95.83353347183332,0,1,0,2.4784744816883646,8.975672601009798,1
 ,Aisha Mahmoud,0.0,88.757127447875,85.41905200139689,0,1,1,7.506683242209065,6.822897209513382,0
 ,Bilal Ibrahim,9.75,93.01238239632767,76.60899452054724,0,1,1,6.7623167697655555,3.817217651487108,1
 ,Layla Farid,5.75,65.26416679864947,79.36259581924891,0,1,2,8.579505508165491,6.0882670193583515,1
 ,Yusuf Karim,10.0,55.28249237732848,70.14080299653392,0,0,1,7.346362702539917,8.945491819841664,1
139,Zainab Mustafa,0.0,60.9408878020132,61.89108749605556,0,0,1,5.723088032032452,6.965697906551677,0
140,Hassan Abdul,9.0,70.50117385406031,67.08668857526055,0,3,0,3.5514035274212685,5.501046651557633,1
 ,Mariam Saleh,0.0,89.26470876427967,86.37661330228971,0,1,3,5.58195348542795,6.242837618157674,1
 ,Aliyah Adil,9.0,91.31506799630449,50.69088745422828,0,2,3,4.2989590915814,8.260930039756829,1
143,Kareem Fahad,6.75,50.33370226549715,55.57148674433198,0,1,0,4.838953100390555,7.8201003523020685,1
144,Noura Hamid,5.0,74.51587052372315,52.20812681704413,1,0,1,7.177156808841219,6.641601851245459,0
145,Tariq Mansour,0.0,70.0357281511414,51.95498251131057,1,1,2,9.339809008702812,6.449763382277968,0
 ,Salma Jamal,5.75,60.66117490259505,91.06210803252834,0,1,5,6.7893430596459625,6.412362776434267,1
147,Khaled Youssef,0.0,55.75353763201677,83.77557725024113,2,1,1,3.6082338759296313,5.616384723252246,0
148,Amira Nassir,5.5,66.20552822737415,72.7603437961916,0,0,3,6.889205336440281,9.423063534204163,1
149,Faisal Rashid,8.5,95.25966578780091,54.69603971124807,1,1,0,8.393262973291302,6.51651929618299,0
150,Hala Samir,9.75,65.51374073699625,73.59756200560795,0,1,2,4.780434191361236,8.825737781238244,1
151,Yasmine Hadi,7.0,74.90194984368156,72.72664499746716,0,3,1,5.7319656666541645,9.281974077883678,1
152,Hamza Abbas,10.0,83.74491002696854,58.31368975568073,0,0,1,6.0293763894583945,8.497466347221941,1
153,Safa Rami,0.0,67.4542209142061,70.82487916342271,0,0,2,4.4302033738355195,6.352569530922928,0
154,Saeed Jamal,5.75,96.64553997060611,69.12822725107392,1,1,2,7.2965608676877185,7.605595135504914,1
155,Lina Talal,6.0,96.19747015722135,79.56080470650639,0,1,1,5.758103702784437,6.963706590413626,1
156,Jad Rami,0.0,62.08555019961748,80.4844952416469,1,0,1,6.839064887814056,5.644447208904808,0
157,Mona Kamal,8.25,73.8679282828345,52.17459246905814,0,1,1,4.2250156443958,7.486538922582405,1
158,Adnan Nizar,0.0,64.44215887120494,67.98140550207061,2,0,1,5.125083399353179,5.231440313260296,0
159,Yasir Jabir,0.0,63.67234373011844,80.04127595428335,0,1,3,7.444762715655543,8.781519082692345,0
160,Samira Saad,0.0,51.77057347301758,74.15054041184422,0,1,2,5.254333695816466,6.30307405405241,0
162,Necla,10.0,79.25908803103505,91.11151237703947,0,0,5,9.45392770246681,7.301739483809259,1
163,Orhan,0.0,74.12859311498535,81.61729431770937,0,3,1,5.200727628770795,7.424931807319213,1
164,Rüya,0.0,52.47098005999949,57.820852499908625,0,1,3,6.449369451503772,6.611642539443884,0
165,Şafak,8.75,63.37503028335735,53.387299875220634,0,0,2,7.8651816637461796,7.880040702212912,1
166,Ece,0.0,93.59676252639937,80.83612535390316,0,1,3,3.1632685341339366,6.287644515066213,0
167,Caner,0.0,61.49897075201468,51.272542905997845,0,2,3,2.4783823760384482,8.306945946185866,1
168,Yasemin,0.0,56.95495386037871,78.11722790112624,0,2,3,2.9486873708598105,4.981030479629878,1
169,Volkan,5.5,73.49373249332302,95.13105158839797,0,2,0,8.525168206854364,7.189569369319618,1
170,Feray,7.5,97.31122179730883,77.62276053804219,0,1,3,4.8962837082151065,9.908393498587428,1
171,Hamza,9.25,61.61865303255202,68.63215645791306,0,1,2,10.0,5.499503013091638,1
172,Nergis,5.5,82.26250627548217,80.87783448523295,1,2,1,4.871504802685223,5.983382544212723,0
173,Hakan,7.5,86.55774153577845,71.9961387435928,1,2,2,6.369102606394074,7.770861774488372,1
174,Asuman,0.0,61.40660211163518,76.18960588716487,0,2,3,9.08421990513575,7.269372672909397,0
175,Kerim,9.25,84.95438473336927,95.19031082127321,0,1,0,10.0,7.525945148910338,1
 ,Nisan,10.0,67.65359037052416,68.53292661443717,0,4,2,10.0,7.733780695221495,1
177,Ercan,7.75,80.35067986849182,96.13714706354789,0,1,0,8.416732461186285,7.9520822028426545,1
178,Reyhan,9.25,80.40942611652295,93.45683081389106,1,1,0,8.048125051622925,8.664549762934335,0
179,Engin,10.0,75.7171848355884,59.39797446988623,0,1,2,7.185053898402366,7.6147279853927685,1
180,Sare,0.0,54.3339089626116,53.32934244200794,0,0,1,7.5567221523332755,6.638113518072187,0
181,Serdar,0.0,90.09451978828342,54.83734406611648,0,0,0,4.897628567342933,8.008860551804098,1
182,Lale,5.0,65.39744311864332,50.874647631274385,1,1,1,4.363602233155386,9.849822902342822,0
183,Barış,0.0,58.952888499193,54.53326211628456,0,1,2,5.993251085178096,6.801049380426139,0
184,Rümeysa,0.0,51.95720679462867,82.78432512398513,1,0,3,5.659630754950143,5.538206042994037,0
186,Damla,0.0,78.3628612730356,53.41705512609099,0,2,4,5.093543901345449,8.660621003930459,1
187,Gürkan,0.0,82.52308936842955,65.31083025410054,0,2,2,7.392774894913431,6.819428254069603,1
188,Tuğçe,8.5,50.7962157885371,90.55401492653382,0,0,2,7.910610417141021,3.740995680978946,1
189,Alparslan,0.0,74.58046679836548,51.11705291531964,0,0,2,6.176813772583695,8.271132515725633,0
190,Eylem,10.0,60.871797209501025,89.09448716426891,0,1,0,8.955060162110524,6.197007721069116,1
192,Zeliha,9.0,80.96829393965359,63.52902918912319,0,3,2,3.71662177173299,6.864200076543759,1
193,Levent,0.0,58.36958859223959,55.6719117258395,0,1,3,5.612681081440564,7.497970495853522,0
194,Selin,10.0,83.16501142891836,83.44338393747924,0,1,1,4.56635535879439,7.2857495196686,1
195,Arman,0.0,68.5632966224258,80.18925664543443,1,1,6,2.26692676585388,8.064177725708559,1
196,Özge,8.0,94.96303945936326,92.11865664929854,0,3,1,5.834638628314601,6.346770444145235,1
197,Zeki,8.5,56.601005319007676,85.28341010258652,0,1,3,5.756504983233433,7.769658697264124,1
198,Naz,6.0,66.3711848504124,88.56708465847274,1,0,1,9.026899486484261,6.610679983624125,0
199,Batuhan,0.0,55.44672901954827,63.537659483422715,0,0,1,7.2616233691095555,8.108215721331254,0
200,Melike,5.0,94.38529367737101,58.5170981014267,3,0,3,3.95162635134159,7.92305122601958,0
201,Taner,0.0,92.1122889622871,86.0295080787612,0,0,3,9.708185132668376,5.596841946933107,1
202,İlknur,0.0,62.38119813032747,88.72806748482867,2,0,3,8.442067391050706,8.628973174262548,0
203,Ferhat,7.75,81.6792342096406,97.54424681603231,0,0,1,7.164195406937232,6.196054832328928,1
204,Cemile,8.5,89.22666560965837,69.80564849174847,0,0,6,5.547031802300336,8.212086697421718,1
 ,Aziz,8.25,76.6496389567742,67.8568681180536,1,0,0,4.081121526553041,7.550930970102011,0
206,Asena,10.0,75.42322776108831,87.26782211561584,0,2,1,5.255586447857894,9.757275515192685,1
207,Davut,0.0,61.60890996322168,66.35856993214486,0,1,4,8.177497239408371,6.6648010264422215,1
208,İlayda,10.0,54.46893285468316,94.6763516289711,0,2,0,9.769172611869218,6.4760248058227035,1
209,Serhat,10.0,93.06635638175968,91.20381208846456,0,1,5,9.086487056544378,6.970870591168401,1
210,Özlem,8.5,93.22006674383987,70.59171331400088,0,2,2,5.022301156427452,6.545230325748587,1
211,İlhan,6.25,80.38886994911687,86.04181125399188,1,0,1,3.7607651334219776,8.199912852913075,0
212,Yaren,7.75,66.27342997033763,86.21805795606475,0,1,0,6.281772493822408,4.575534087345118,1
213,Tarık,6.5,66.76205958140773,54.949945704124765,0,3,0,2.4631212688742967,5.419476371280469,1
214,Beyza,5.75,84.84587258577149,93.3225395206192,0,0,4,6.646335428369563,5.39829561763121,1
215,Eray,0.0,93.0612924777237,74.25211387749715,0,0,2,5.7047948274026625,8.425461387960365,0
216,Nergis,0.0,92.58014836472563,89.6699583731716,0,0,2,5.067926996263515,9.565920058872887,0
217,Aslan,8.5,87.43402620116595,65.36238084946936,0,0,1,2.810593865466409,6.843326172193793,0
218,Yelda,5.0,80.81751901540582,92.98511496781762,0,1,0,7.027200213139433,6.746767415214984,1
219,Ertan,0.0,54.038718319762346,68.68168057923984,0,0,2,4.934598320676177,7.105078244669772,1
220,Cansın,5.0,57.75817827654146,50.52020727105432,1,4,1,3.660166328579424,8.742817453912286,1
0,Fırat,0.0,93.1306010492998,93.45833486812465,1,1,3,0.25547557343670135,5.608970298714139,0
222,Gamze,8.5,79.10859486366031,54.38176048573441,1,1,0,5.9449701898987275,7.357553474102177,0
